"n","z","panel"
50,-1.03590891183811,"n = 50"
50,0.337164007590003,"n = 50"
50,1.7203999578996,"n = 50"
50,1.87157030197106,"n = 50"
50,-0.579969189794305,"n = 50"
50,-0.341928444461398,"n = 50"
50,-1.15470243981715,"n = 50"
50,0.389488256932073,"n = 50"
50,1.55838661382301,"n = 50"
50,-2.24135877783152,"n = 50"
50,0.379753710330777,"n = 50"
50,1.27446945443164,"n = 50"
50,-0.205305562628512,"n = 50"
50,-1.09866422654098,"n = 50"
50,-0.698661994643937,"n = 50"
50,1.5595197521299,"n = 50"
50,-3.33656953852586,"n = 50"
50,0.299578442332706,"n = 50"
50,1.07884768070712,"n = 50"
50,0.056038795033669,"n = 50"
50,1.81365625844146,"n = 50"
50,-0.634652096250335,"n = 50"
50,-0.367123406072839,"n = 50"
50,-1.14299835099778,"n = 50"
50,2.3410986839312,"n = 50"
50,2.59142114611893,"n = 50"
50,0.0283185325216806,"n = 50"
50,-0.969379101959854,"n = 50"
50,0.812461103936058,"n = 50"
50,0.151076469109596,"n = 50"
50,2.89139884357267,"n = 50"
50,1.07149443658952,"n = 50"
50,1.31281095218853,"n = 50"
50,-0.246789219867265,"n = 50"
50,1.42247992014883,"n = 50"
50,-0.625272033499658,"n = 50"
50,2.01823749940522,"n = 50"
50,-0.639796793937906,"n = 50"
50,-1.74189175727809,"n = 50"
50,-0.668306591722849,"n = 50"
50,-0.754735600084612,"n = 50"
50,0.567981342358346,"n = 50"
50,-0.116422501542382,"n = 50"
50,-0.938763085333587,"n = 50"
50,-2.03221730231128,"n = 50"
50,1.19498925391764,"n = 50"
50,-0.199615987750362,"n = 50"
50,-0.0622905765052267,"n = 50"
50,2.4833150691342,"n = 50"
50,0.717948127893671,"n = 50"
50,-0.745569393949323,"n = 50"
50,-1.62930321055949,"n = 50"
50,0.0430434201870677,"n = 50"
50,-0.275168796655059,"n = 50"
50,-0.00649325306176149,"n = 50"
50,-1.41705071496716,"n = 50"
50,-0.633611174218123,"n = 50"
50,-0.175316176100366,"n = 50"
50,-0.21582014438535,"n = 50"
50,1.24663478281064,"n = 50"
50,0.339282807710961,"n = 50"
50,-0.47841581182163,"n = 50"
50,-0.754392459697602,"n = 50"
50,-0.339871757279862,"n = 50"
50,0.870993573831392,"n = 50"
50,-0.707940749018821,"n = 50"
50,-0.97226518998878,"n = 50"
50,1.77183480101209,"n = 50"
50,0.625741723064757,"n = 50"
50,0.520227375363363,"n = 50"
50,-1.04663104408315,"n = 50"
50,-2.042651670082,"n = 50"
50,-0.132807463271397,"n = 50"
50,1.26318348673778,"n = 50"
50,-0.89200409098409,"n = 50"
50,2.61038452824501,"n = 50"
50,0.29500654073897,"n = 50"
50,1.17578867725928,"n = 50"
50,0.667115754059364,"n = 50"
50,-0.0507427888216525,"n = 50"
50,-0.946866587008506,"n = 50"
50,-0.783669580021776,"n = 50"
50,1.30836819838513,"n = 50"
50,-1.31161980796377,"n = 50"
50,0.557986830357524,"n = 50"
50,-0.146086969763147,"n = 50"
50,-0.174653159592211,"n = 50"
50,0.549000214884446,"n = 50"
50,1.33089022101852,"n = 50"
50,-1.59370848671871,"n = 50"
50,-1.47768915761279,"n = 50"
50,0.354125674340497,"n = 50"
50,-1.3469581261862,"n = 50"
50,1.38743073008366,"n = 50"
50,1.37972086875885,"n = 50"
50,-0.676553751216067,"n = 50"
50,1.44532319540927,"n = 50"
50,-1.65044063013731,"n = 50"
50,-1.25994790063957,"n = 50"
50,0.799157792664214,"n = 50"
50,-0.490000631969397,"n = 50"
50,0.924039792502762,"n = 50"
50,0.61172053783314,"n = 50"
50,-0.357937666510033,"n = 50"
50,0.221330693456914,"n = 50"
50,0.0802072562027189,"n = 50"
50,-0.443308234958131,"n = 50"
50,0.0567908832657973,"n = 50"
50,1.39313313853424,"n = 50"
50,-1.02192532592254,"n = 50"
50,2.97881867802018,"n = 50"
50,0.242368541783967,"n = 50"
50,1.70518566971123,"n = 50"
50,0.86699471263173,"n = 50"
